inst,succ probSAT,of,steps probSAT,awg fined probSAT,mu probSAT,sig^2 probSAT
uf20-0703.cnf,1000,1000,32.999,32.999,3.1515,0.70374
uf20-0704.cnf,1000,1000,55.078,55.078,3.54749,0.90568
uf20-0705.cnf,1000,1000,97.242,97.242,4.15196,0.97478
uf20-0706.cnf,1000,1000,21.597,21.597,2.77762,0.59594
uf20-0707.cnf,1000,1000,79.009,79.009,3.85147,1.07931
uf20-0708.cnf,1000,1000,132.842,132.842,4.37499,1.24281
uf20-0709.cnf,1000,1000,39.954,39.954,3.37988,0.65369
uf20-0710.cnf,1000,1000,112.197,112.197,3.98823,1.49173
uf20-0711.cnf,1000,1000,81.911,81.911,4.00185,0.93532
uf20-0712.cnf,999,1000,141.298,154.798,4.3386,1.30425
uf20-0713.cnf,1000,1000,43.273,43.273,3.27993,0.947
uf20-0714.cnf,1000,1000,30.269,30.269,3.09751,0.63126
uf20-0715.cnf,1000,1000,119.036,119.036,4.29019,1.10475
uf20-0716.cnf,1000,1000,125.091,125.091,4.31679,1.07384
uf20-0717.cnf,985,1000,334.653,537.153,5.14315,1.66428
uf20-0718.cnf,1000,1000,61.789,61.789,3.65858,0.96237
uf20-0719.cnf,1000,1000,71.23,71.23,3.85951,0.90174
uf20-0720.cnf,1000,1000,92.341,92.341,4.03832,1.06826
uf20-0721.cnf,1000,1000,43.55,43.55,3.26491,1.00421
uf20-0722.cnf,1000,1000,32.817,32.817,3.15563,0.70222
uf20-0723.cnf,1000,1000,97.191,97.191,3.99721,1.23391
uf20-0724.cnf,1000,1000,18.633,18.633,2.71957,0.41777
uf20-0725.cnf,1000,1000,80.958,80.958,4.02502,0.8236
uf20-0726.cnf,1000,1000,83.318,83.318,3.74473,1.27623
uf20-0727.cnf,1000,1000,37.606,37.606,3.3266,0.62479
uf20-0728.cnf,1000,1000,156.703,156.703,4.45983,1.36752
uf20-0729.cnf,1000,1000,75.065,75.065,3.96868,0.76015
uf20-0730.cnf,1000,1000,54.124,54.124,3.49441,0.99586
uf20-0731.cnf,1000,1000,84.279,84.279,3.96653,0.99015
uf20-0732.cnf,1000,1000,46.588,46.588,3.41556,0.87332
uf20-0733.cnf,1000,1000,78.943,78.943,4.00103,0.76878
uf20-0734.cnf,1000,1000,53.075,53.075,3.36077,1.21549
uf20-0735.cnf,1000,1000,65.266,65.266,3.87781,0.64524
uf20-0736.cnf,1000,1000,128.845,128.845,4.35306,1.15626
uf20-0737.cnf,1000,1000,70.166,70.166,3.78553,0.98417
uf20-0738.cnf,1000,1000,38.481,38.481,3.2933,0.72074
uf20-0739.cnf,998,1000,171.265,198.265,4.36035,1.76815
uf20-0740.cnf,1000,1000,109.492,109.492,4.23227,1.06502
uf20-0741.cnf,1000,1000,51.422,51.422,3.48629,0.92251
uf20-0742.cnf,1000,1000,34.35,34.35,3.09292,0.88774
uf20-0743.cnf,1000,1000,78.134,78.134,3.9586,0.86739
uf20-0744.cnf,1000,1000,81.986,81.986,3.77416,1.24951
uf20-0745.cnf,1000,1000,38.572,38.572,3.31737,0.67872
uf20-0746.cnf,1000,1000,33.912,33.912,3.25531,0.56034
uf20-0747.cnf,1000,1000,44.605,44.605,3.45716,0.7071
uf20-0748.cnf,1000,1000,39.55,39.55,3.1784,0.8873
uf20-0749.cnf,1000,1000,53.648,53.648,3.61572,0.77439
uf20-0750.cnf,1000,1000,133.711,133.711,4.4155,1.16003
uf20-0751.cnf,1000,1000,75.022,75.022,3.84918,0.99016
uf20-0752.cnf,1000,1000,58.586,58.586,3.62624,0.94947
uf20-0753.cnf,1000,1000,49.366,49.366,3.57371,0.68664
uf20-0754.cnf,1000,1000,55.961,55.961,3.54367,1.01436
uf20-0755.cnf,1000,1000,71.463,71.463,3.92037,0.75791
uf20-0756.cnf,1000,1000,39.161,39.161,3.37301,0.6507
uf20-0757.cnf,1000,1000,60.272,60.272,3.72434,0.80625
uf20-0758.cnf,1000,1000,31.957,31.957,3.13791,0.68664
uf20-0759.cnf,1000,1000,98.557,98.557,4.07193,1.0801
uf20-0760.cnf,1000,1000,42.048,42.048,3.30576,0.85478
uf20-0761.cnf,1000,1000,40.289,40.289,3.33349,0.73227
uf20-0762.cnf,999,1000,216.877,230.377,4.80902,1.49284
uf20-0763.cnf,1000,1000,127.911,127.911,4.38647,1.04815
uf20-0764.cnf,1000,1000,241.999,241.999,4.93335,1.37914
uf20-0765.cnf,1000,1000,143.982,143.982,4.382,1.39032
uf20-0766.cnf,1000,1000,61.106,61.106,3.56338,1.08631
uf20-0767.cnf,1000,1000,22.234,22.234,2.77818,0.59753
uf20-0768.cnf,1000,1000,44.18,44.18,3.281,0.97656
uf20-0769.cnf,1000,1000,91.534,91.534,4.09369,0.9346
uf20-0770.cnf,1000,1000,96.256,96.256,4.03581,1.20535
uf20-0771.cnf,998,1000,216.04,243.04,4.70853,1.54763
uf20-0772.cnf,1000,1000,21.926,21.926,2.75378,0.60577
uf20-0773.cnf,1000,1000,28.59,28.59,3.11566,0.47454
uf20-0774.cnf,1000,1000,43.652,43.652,3.43879,0.71209
uf20-0775.cnf,997,1000,230.765,271.265,4.85265,1.45275
uf20-0776.cnf,1000,1000,32.235,32.235,3.08166,0.75072
uf20-0777.cnf,993,1000,255.558,350.058,4.86843,1.6769
uf20-0778.cnf,1000,1000,95.009,95.009,3.91764,1.31298
uf20-0779.cnf,1000,1000,51.16,51.16,3.54269,0.80681
uf20-0780.cnf,1000,1000,76.565,76.565,3.82195,1.1241
uf20-0781.cnf,1000,1000,95.253,95.253,4.0154,1.07994
uf20-0782.cnf,1000,1000,157.362,157.362,4.4866,1.37676
uf20-0783.cnf,1000,1000,116.177,116.177,4.37501,0.91661
uf20-0784.cnf,1000,1000,55.504,55.504,3.58048,0.93756
uf20-0785.cnf,1000,1000,37.428,37.428,3.25683,0.73369
uf20-0786.cnf,1000,1000,67.392,67.392,3.51169,1.40321
uf20-0787.cnf,1000,1000,21.043,21.043,2.72343,0.6071
uf20-0788.cnf,1000,1000,45.791,45.791,3.43645,0.82262
uf20-0789.cnf,1000,1000,86.586,86.586,3.99478,1.00257
uf20-0790.cnf,1000,1000,119.226,119.226,3.98216,1.71609
uf20-0791.cnf,999,1000,201.488,214.988,4.76882,1.32667
uf20-0792.cnf,1000,1000,20.376,20.376,2.79407,0.45105
uf20-0793.cnf,1000,1000,53.708,53.708,3.5808,0.84456
uf20-0794.cnf,1000,1000,63.086,63.086,3.76933,0.81115
uf20-0795.cnf,1000,1000,48.469,48.469,3.46609,0.84804
