inst,succ gSAT2,of,steps gSAT2,awg fined gSAT2,mu gSAT2,sig^2 gSAT2
uf50-0350.cnf,1000,1000,76.1,76.1,3.91406,0.77058
uf50-0351.cnf,1000,1000,41.698,41.698,3.52121,0.3802
uf50-0352.cnf,1000,1000,35.504,35.504,3.41129,0.28596
uf50-0353.cnf,1000,1000,45.57,45.57,3.55319,0.43892
uf50-0354.cnf,1000,1000,31.606,31.606,3.3125,0.2585
uf50-0355.cnf,1000,1000,58.176,58.176,3.78425,0.49788
uf50-0356.cnf,1000,1000,107.582,107.582,4.21196,0.87759
uf50-0357.cnf,999,1000,76.147,89.647,3.86411,0.69503
uf50-0358.cnf,1000,1000,35.561,35.561,3.39386,0.31925
uf50-0359.cnf,1000,1000,36.841,36.841,3.35693,0.40304
uf50-0360.cnf,1000,1000,31.273,31.273,3.26986,0.3027
uf50-0361.cnf,1000,1000,25.879,25.879,3.14033,0.20936
uf50-0362.cnf,1000,1000,29.218,29.218,3.19976,0.30867
uf50-0363.cnf,1000,1000,39.596,39.596,3.45323,0.40057
uf50-0364.cnf,1000,1000,46.373,46.373,3.5771,0.44914
uf50-0365.cnf,1000,1000,31.707,31.707,3.3191,0.2493
uf50-0366.cnf,998,1000,171.969,198.969,4.42425,1.39332
uf50-0367.cnf,1000,1000,28.728,28.728,3.22076,0.24794
uf50-0368.cnf,1000,1000,29.486,29.486,3.26844,0.21337
uf50-0369.cnf,1000,1000,81.915,81.915,4.121,0.54497
uf50-0370.cnf,1000,1000,52.808,52.808,3.67381,0.52891
uf50-0371.cnf,1000,1000,29.033,29.033,3.2256,0.25852
uf50-0372.cnf,1000,1000,37.163,37.163,3.42158,0.34571
uf50-0373.cnf,1000,1000,42.124,42.124,3.51429,0.39533
uf50-0374.cnf,1000,1000,37.675,37.675,3.45531,0.30689
uf50-0375.cnf,1000,1000,26.457,26.457,3.16901,0.20267
uf50-0376.cnf,1000,1000,49.998,49.998,3.61516,0.45509
uf50-0377.cnf,1000,1000,36.803,36.803,3.38719,0.37598
uf50-0378.cnf,999,1000,61.69,75.19,3.6636,0.63805
uf50-0379.cnf,1000,1000,47.039,47.039,3.54815,0.46831
uf50-0380.cnf,1000,1000,71.654,71.654,3.80381,0.78228
uf50-0381.cnf,1000,1000,59.263,59.263,3.79618,0.50171
uf50-0382.cnf,1000,1000,41.946,41.946,3.52494,0.36948
uf50-0383.cnf,1000,1000,33.921,33.921,3.3669,0.28213
