inst,xing,winner
uf20-0639.cnf,1072,gSAT2
uf20-0640.cnf,34,probSAT
uf20-0641.cnf,None,probSAT
uf20-0642.cnf,32,probSAT
uf20-0643.cnf,31,probSAT
uf20-0644.cnf,37,probSAT
uf20-0645.cnf,67,probSAT
uf20-0646.cnf,15,probSAT
uf20-0647.cnf,None,probSAT
uf20-0648.cnf,21,probSAT
uf20-0649.cnf,21,probSAT
uf20-0650.cnf,11,probSAT
uf20-0651.cnf,8,probSAT
uf20-0652.cnf,39,probSAT
uf20-0653.cnf,14,probSAT
uf20-0654.cnf,13,probSAT
uf20-0655.cnf,None,probSAT
uf20-0656.cnf,86,probSAT
uf20-0657.cnf,184,probSAT
uf20-0658.cnf,61,probSAT
uf20-0659.cnf,4,probSAT
uf20-0660.cnf,12,probSAT
uf20-0661.cnf,27,probSAT
uf20-0662.cnf,22,probSAT
uf20-0663.cnf,341,gSAT2
uf20-0664.cnf,804,probSAT
uf20-0665.cnf,47,probSAT
uf20-0666.cnf,21,probSAT
uf20-0667.cnf,38,probSAT
uf20-0668.cnf,5,probSAT
uf20-0669.cnf,22,probSAT
uf20-0670.cnf,117,probSAT
uf20-0671.cnf,22,probSAT
uf20-0672.cnf,30,probSAT
uf20-0673.cnf,17,probSAT
uf20-0674.cnf,87,probSAT
uf20-0675.cnf,46,probSAT
uf20-0676.cnf,24,probSAT
uf20-0677.cnf,34,probSAT
uf20-0678.cnf,30,probSAT
uf20-0679.cnf,11,probSAT
uf20-0680.cnf,14,probSAT
uf20-0681.cnf,26,probSAT
uf20-0682.cnf,29,probSAT
uf20-0683.cnf,66,probSAT
uf20-0684.cnf,14,probSAT
uf20-0685.cnf,33,probSAT
uf20-0686.cnf,68,probSAT
uf20-0687.cnf,36,probSAT
uf20-0688.cnf,787,gSAT2
uf20-0689.cnf,9,probSAT
uf20-0690.cnf,110,probSAT
uf20-0691.cnf,7,probSAT
uf20-0692.cnf,21,probSAT
uf20-0693.cnf,8,probSAT
uf20-0694.cnf,4,probSAT
uf20-0695.cnf,45,probSAT
uf20-0696.cnf,25,probSAT
uf20-0697.cnf,11,probSAT
uf20-0698.cnf,14,probSAT
uf20-0699.cnf,61,probSAT
uf20-0700.cnf,44,probSAT
uf20-0701.cnf,2,probSAT
uf20-0702.cnf,20,probSAT
uf20-0703.cnf,39,probSAT
uf20-0704.cnf,26,probSAT
uf20-0705.cnf,21,probSAT
uf20-0706.cnf,16,probSAT
uf20-0707.cnf,40,probSAT
uf20-0708.cnf,19,probSAT
uf20-0709.cnf,2,probSAT
uf20-0710.cnf,7,probSAT
uf20-0711.cnf,None,probSAT
uf20-0712.cnf,40,probSAT
uf20-0713.cnf,7,probSAT
uf20-0714.cnf,236,gSAT2
uf20-0715.cnf,46,probSAT
uf20-0716.cnf,18,probSAT
uf20-0717.cnf,2,gSAT2
uf20-0718.cnf,54,probSAT
uf20-0719.cnf,15,probSAT
uf20-0720.cnf,39,probSAT
uf20-0721.cnf,2,probSAT
uf20-0722.cnf,41,probSAT
uf20-0723.cnf,26,probSAT
uf20-0724.cnf,24,probSAT
uf20-0725.cnf,23,probSAT
uf20-0726.cnf,23,probSAT
uf20-0727.cnf,29,probSAT
uf20-0728.cnf,46,probSAT
uf20-0729.cnf,7,probSAT
uf20-0730.cnf,50,probSAT
uf20-0731.cnf,9,probSAT
uf20-0732.cnf,301,probSAT
uf20-0733.cnf,21,probSAT
uf20-0734.cnf,21,probSAT
uf20-0735.cnf,18,probSAT
uf20-0736.cnf,78,probSAT
uf20-0737.cnf,35,probSAT
uf20-0738.cnf,27,probSAT
uf20-0739.cnf,43,probSAT
uf20-0740.cnf,54,probSAT
uf20-0741.cnf,25,probSAT
uf20-0742.cnf,81,probSAT
uf20-0743.cnf,27,probSAT
uf20-0744.cnf,934,gSAT2
uf20-0745.cnf,20,probSAT
uf20-0746.cnf,4,probSAT
uf20-0747.cnf,408,gSAT2
uf20-0748.cnf,12,probSAT
uf20-0749.cnf,33,probSAT
uf20-0750.cnf,None,probSAT
uf20-0751.cnf,54,probSAT
uf20-0752.cnf,60,probSAT
uf20-0753.cnf,21,probSAT
uf20-0754.cnf,25,probSAT
uf20-0755.cnf,29,probSAT
uf20-0756.cnf,39,probSAT
uf20-0757.cnf,38,probSAT
uf20-0758.cnf,4,probSAT
uf20-0759.cnf,26,probSAT
uf20-0760.cnf,342,gSAT2
uf20-0761.cnf,28,probSAT
uf20-0762.cnf,22,probSAT
uf20-0763.cnf,57,probSAT
uf20-0764.cnf,51,probSAT
uf20-0765.cnf,27,probSAT
uf20-0766.cnf,None,probSAT
uf20-0767.cnf,18,probSAT
uf20-0768.cnf,29,probSAT
uf20-0769.cnf,56,probSAT
uf20-0770.cnf,37,probSAT
uf20-0771.cnf,22,probSAT
uf20-0772.cnf,41,probSAT
uf20-0773.cnf,25,probSAT
uf20-0774.cnf,40,probSAT
uf20-0775.cnf,70,probSAT
uf20-0776.cnf,3,probSAT
uf20-0777.cnf,64,probSAT
uf20-0778.cnf,25,probSAT
