inst,succ gSAT2,succ probSAT,of,steps gSAT2,steps probSAT,awg fined gSAT2,awg fined probSAT,mu gSAT2,sig^2 gSAT2,mu probSAT,sig^2 probSAT,xing,winner
uf20-0504.cnf,999,1000,1000,188.487,123.033,201.987,123.033,4.52218,1.64582,4.36128,0.98583,58,probSAT
uf20-0505.cnf,995,1000,1000,168.808,81.217,236.308,81.217,4.2677,1.86759,3.9218,1.07282,24,probSAT
uf20-0506.cnf,993,1000,1000,173.631,74.29,268.131,74.29,4.18185,2.02432,3.78638,1.09148,13,probSAT
uf20-0507.cnf,1000,1000,1000,22.786,21.006,22.786,21.006,2.83237,0.57243,2.80063,0.47908,7,probSAT
uf20-0508.cnf,999,1000,1000,144.917,83.564,158.417,83.564,4.09297,1.87286,3.81,1.28287,31,probSAT
uf20-0509.cnf,999,1000,1000,190.468,171.016,203.968,171.016,4.64995,1.43879,4.57998,1.37241,91,probSAT
uf20-0510.cnf,1000,1000,1000,47.757,33.495,47.757,33.495,3.32377,0.88237,3.19969,0.64596,32,probSAT
uf20-0511.cnf,1000,1000,1000,76.488,52.142,76.488,52.142,3.76274,1.14834,3.55397,0.80792,10,probSAT
uf20-0512.cnf,1000,1000,1000,94.115,79.003,94.115,79.003,3.92188,1.29991,3.89437,1.08358,88,probSAT
uf20-0513.cnf,1000,1000,1000,78.597,58.905,78.597,58.905,3.83658,1.08586,3.67684,0.86289,6,probSAT
uf20-0514.cnf,939,999,1000,377.918,206.1,1201.418,219.6,4.79959,2.33055,4.71192,1.4381,93,probSAT
uf20-0515.cnf,1000,1000,1000,38.447,35.825,38.447,35.825,3.26777,0.73919,3.28139,0.59473,37,probSAT
uf20-0516.cnf,1000,1000,1000,76.709,50.256,76.709,50.256,3.55214,1.57558,3.36302,1.10403,18,probSAT
uf20-0517.cnf,990,1000,1000,255.889,165.326,390.889,165.326,4.804,1.79746,4.61857,1.17756,48,probSAT
uf20-0518.cnf,996,1000,1000,265.515,159.637,319.515,159.637,4.8548,1.84201,4.54911,1.24851,33,probSAT
uf20-0519.cnf,968,999,1000,331.31,194.734,763.31,208.234,4.83539,2.10236,4.64113,1.46558,76,probSAT
uf20-0520.cnf,1000,1000,1000,144.578,80.093,144.578,80.093,4.34192,1.53617,3.91992,1.01363,12,probSAT
uf20-0521.cnf,1000,1000,1000,93.721,81.644,93.721,81.644,3.99587,1.17582,3.98681,0.91412,53,probSAT
uf20-0522.cnf,1000,1000,1000,36.048,28.413,36.048,28.413,3.07699,0.94246,3.0079,0.68587,22,probSAT
uf20-0523.cnf,1000,1000,1000,51.708,45.6,51.708,45.6,3.56917,0.74547,3.52737,0.61335,37,probSAT
uf20-0524.cnf,997,1000,1000,184.229,108.362,224.729,108.362,4.50555,1.58016,4.22099,1.06592,34,probSAT
uf20-0525.cnf,1000,1000,1000,38.429,24.87,38.429,24.87,3.06063,0.9339,2.88283,0.62612,None,probSAT
uf20-0526.cnf,998,1000,1000,211.657,138.863,238.657,138.863,4.64833,1.67212,4.37543,1.3553,4,probSAT
uf20-0527.cnf,1000,1000,1000,77.924,55.366,77.924,55.366,3.75373,1.18,3.59536,0.87325,23,probSAT
uf20-0528.cnf,996,1000,1000,247.486,154.018,301.486,154.018,4.78598,1.82019,4.52777,1.1514,43,probSAT
uf20-0529.cnf,990,1000,1000,257.99,138.762,392.99,138.762,4.56852,2.46395,4.15546,1.84903,None,probSAT
uf20-0530.cnf,1000,1000,1000,70.041,54.793,70.041,54.793,3.80953,0.95506,3.65862,0.74134,18,probSAT
uf20-0531.cnf,1000,1000,1000,40.184,34.123,40.184,34.123,3.20333,0.9117,3.16405,0.71708,25,probSAT
uf20-0532.cnf,943,999,1000,404.351,189.953,1173.851,203.453,4.98533,2.35183,4.4778,1.88985,3,probSAT
uf20-0533.cnf,974,998,1000,345.787,213.755,696.787,240.755,5.13268,1.71015,4.74272,1.59631,1,probSAT
uf20-0534.cnf,1000,1000,1000,54.429,44.477,54.429,44.477,3.63636,0.77715,3.52263,0.59814,21,probSAT
uf20-0535.cnf,1000,1000,1000,21.551,22.344,21.551,22.344,2.80465,0.51792,2.84082,0.52754,131,probSAT
uf20-0536.cnf,995,1000,1000,277.92,161.506,345.42,161.506,4.87506,1.8496,4.59118,1.20269,38,probSAT
uf20-0537.cnf,1000,1000,1000,73.618,58.556,73.618,58.556,3.61985,1.27834,3.57929,0.99677,48,probSAT
uf20-0538.cnf,1000,1000,1000,124.144,75.679,124.144,75.679,4.05929,1.60741,3.76376,1.14783,6,probSAT
uf20-0539.cnf,1000,1000,1000,32.245,31.703,32.245,31.703,3.03808,0.77355,3.06263,0.74765,279,gSAT2
uf20-0540.cnf,1000,1000,1000,81.066,54.286,81.066,54.286,3.736,1.35769,3.55493,0.91185,23,probSAT
uf20-0541.cnf,1000,1000,1000,52.431,41.751,52.431,41.751,3.445,0.95819,3.40761,0.64001,35,probSAT
uf20-0542.cnf,997,1000,1000,200.493,116.58,240.993,116.58,4.60687,1.7169,4.26006,1.15956,23,probSAT
uf20-0543.cnf,998,1000,1000,165.403,106.223,192.403,106.223,4.3641,1.65761,4.0934,1.23164,7,probSAT
uf20-0544.cnf,1000,1000,1000,137.668,102.308,137.668,102.308,4.18929,1.83487,3.91123,1.637,5,probSAT
uf20-0545.cnf,1000,1000,1000,126.932,74.452,126.932,74.452,4.19251,1.36107,3.91624,0.85641,30,probSAT
uf20-0546.cnf,1000,1000,1000,148.821,91.143,148.821,91.143,4.3672,1.59132,3.95619,1.27212,3,probSAT
uf20-0547.cnf,1000,1000,1000,200.311,94.408,200.311,94.408,4.67423,1.59557,4.12442,0.9642,11,probSAT
uf20-0548.cnf,1000,1000,1000,54.293,51.892,54.293,51.892,3.58534,0.81252,3.61738,0.71631,74,probSAT
uf20-0549.cnf,1000,1000,1000,43.136,37.751,43.136,37.751,3.3306,0.86243,3.25152,0.76879,9,probSAT
uf20-0550.cnf,1000,1000,1000,203.528,147.042,203.528,147.042,4.75546,1.35145,4.50999,1.13797,12,probSAT
uf20-0551.cnf,1000,1000,1000,163.099,157.274,163.099,157.274,4.43482,1.52325,4.44565,1.41553,1082,gSAT2
uf20-0552.cnf,990,998,1000,310.424,201.512,445.424,228.512,5.05354,1.75641,4.72754,1.40485,20,probSAT
uf20-0553.cnf,1000,1000,1000,121.314,104.163,121.314,104.163,4.24799,1.27307,4.18519,1.05286,32,probSAT
uf20-0554.cnf,1000,1000,1000,23.35,19.906,23.35,19.906,2.84204,0.59147,2.76086,0.4487,5,probSAT
uf20-0555.cnf,1000,1000,1000,48.097,32.356,48.097,32.356,3.33915,0.9588,3.15705,0.63607,7,probSAT
uf20-0556.cnf,998,1000,1000,194.423,104.119,221.423,104.119,4.52505,1.70374,4.17608,1.09032,33,probSAT
uf20-0557.cnf,1000,1000,1000,68.778,58.98,68.778,58.98,3.57331,1.3291,3.4894,1.10801,681,gSAT2
uf20-0558.cnf,1000,1000,1000,55.374,41.0,55.374,41.0,3.58955,0.8605,3.42225,0.61652,None,probSAT
uf20-0559.cnf,1000,1000,1000,95.906,50.366,95.906,50.366,3.72499,1.69933,3.4539,0.9372,26,probSAT
uf20-0560.cnf,867,994,1000,457.315,245.493,2252.815,326.493,4.75001,2.35677,4.75373,1.72264,51,probSAT
uf20-0561.cnf,1000,1000,1000,81.84,50.899,81.84,50.899,3.70701,1.34125,3.51619,0.85176,24,probSAT
uf20-0562.cnf,995,1000,1000,205.919,111.693,273.419,111.693,4.62183,1.57771,4.29556,0.95799,29,probSAT
uf20-0563.cnf,1000,1000,1000,51.435,51.608,51.435,51.608,3.41699,1.07733,3.43491,0.97637,182,gSAT2
uf20-0564.cnf,994,1000,1000,215.375,114.019,296.375,114.019,4.4115,2.0729,4.07865,1.4056,10,probSAT
uf20-0565.cnf,1000,1000,1000,87.033,53.779,87.033,53.779,3.79388,1.36323,3.57584,0.82662,17,probSAT
uf20-0566.cnf,1000,1000,1000,83.757,48.666,83.757,48.666,3.75735,1.41544,3.475,0.87926,13,probSAT
uf20-0567.cnf,1000,1000,1000,28.946,22.105,28.946,22.105,2.88327,0.75355,2.79995,0.5698,3,probSAT
uf20-0568.cnf,998,999,1000,188.61,123.056,215.61,136.556,4.25987,2.22715,4.04595,1.64641,35,probSAT
uf20-0569.cnf,994,1000,1000,181.297,82.026,262.297,82.026,3.99024,2.48329,3.82021,1.25089,56,probSAT
uf20-0570.cnf,1000,1000,1000,29.677,29.053,29.677,29.053,3.0635,0.6273,3.05947,0.63834,53,probSAT
uf20-0571.cnf,1000,1000,1000,99.841,61.087,99.841,61.087,3.83683,1.55726,3.6211,1.02304,16,probSAT
uf20-0572.cnf,1000,1000,1000,118.848,85.009,118.848,85.009,4.27624,1.09494,4.07203,0.80908,19,probSAT
uf20-0573.cnf,1000,1000,1000,66.201,45.373,66.201,45.373,3.63816,1.15931,3.40717,0.84354,None,probSAT
uf20-0574.cnf,997,1000,1000,180.404,83.405,220.904,83.405,4.26762,2.08995,3.87779,1.17177,30,probSAT
uf20-0575.cnf,999,1000,1000,100.815,72.467,114.315,72.467,3.90142,1.51428,3.76249,1.12883,37,probSAT
uf20-0576.cnf,1000,1000,1000,130.347,101.12,130.347,101.12,4.2132,1.37451,4.16792,0.97755,80,probSAT
uf20-0577.cnf,1000,1000,1000,48.276,30.913,48.276,30.913,3.35089,1.02452,3.11761,0.64406,3,probSAT
uf20-0578.cnf,1000,1000,1000,146.13,91.461,146.13,91.461,4.33804,1.51449,4.02791,1.14761,15,probSAT
uf20-0579.cnf,1000,1000,1000,121.735,91.035,121.735,91.035,4.25264,1.24218,4.05621,1.05607,3,probSAT
uf20-0580.cnf,1000,1000,1000,63.033,41.822,63.033,41.822,3.60982,1.06339,3.41869,0.68248,14,probSAT
uf20-0581.cnf,975,1000,1000,321.383,121.515,658.883,121.515,4.73648,2.42393,4.24096,1.27849,31,probSAT
uf20-0582.cnf,900,1000,1000,487.825,140.092,1837.825,140.092,5.10361,2.28907,4.47883,1.09646,33,probSAT
uf20-0583.cnf,998,1000,1000,166.381,115.379,193.381,115.379,4.2021,1.98768,4.13944,1.34464,80,probSAT
uf20-0584.cnf,999,1000,1000,166.182,106.769,179.682,106.769,4.51107,1.42017,4.26022,0.93584,30,probSAT
uf20-0585.cnf,1000,1000,1000,67.522,39.457,67.522,39.457,3.49159,1.37864,3.28407,0.78757,17,probSAT
uf20-0586.cnf,981,999,1000,345.725,173.025,602.225,186.525,5.07437,1.88485,4.57909,1.38069,7,probSAT
uf20-0587.cnf,1000,1000,1000,120.004,82.528,120.004,82.528,3.98784,1.61368,3.78068,1.26613,10,probSAT
uf20-0588.cnf,1000,1000,1000,28.077,22.802,28.077,22.802,2.9342,0.75538,2.84594,0.57002,9,probSAT
uf20-0589.cnf,1000,1000,1000,52.288,44.072,52.288,44.072,3.47977,0.92344,3.39844,0.73604,319,gSAT2
uf20-0590.cnf,1000,1000,1000,77.209,68.41,77.209,68.41,3.77955,1.22363,3.77098,1.003,542,gSAT2
uf20-0591.cnf,794,991,1000,610.597,253.423,3391.597,374.923,4.92347,2.92603,4.66207,2.05938,15,probSAT
uf20-0592.cnf,1000,1000,1000,68.252,50.023,68.252,50.023,3.70575,1.05439,3.56186,0.74638,26,probSAT
uf20-0593.cnf,1000,1000,1000,71.096,58.47,71.096,58.47,3.7506,1.10815,3.64044,0.90853,21,probSAT
uf20-0594.cnf,1000,1000,1000,192.863,160.192,192.863,160.192,4.71503,1.31157,4.59392,1.16131,9,probSAT
uf20-0595.cnf,970,1000,1000,276.984,125.996,681.984,125.996,4.50339,2.20417,4.20774,1.3186,27,probSAT
uf20-0596.cnf,1000,1000,1000,71.979,57.592,71.979,57.592,3.86758,0.88531,3.76926,0.61044,25,probSAT
uf20-0597.cnf,979,1000,1000,308.588,133.836,592.088,133.836,4.83991,2.08436,4.32902,1.3014,17,probSAT
uf20-0598.cnf,1000,1000,1000,113.415,100.23,113.415,100.23,4.24962,1.12202,4.22308,0.89388,76,probSAT
uf20-0599.cnf,973,997,1000,319.878,220.228,684.378,260.728,4.88721,1.96137,4.77786,1.44213,59,probSAT
uf20-0600.cnf,945,998,1000,411.988,221.96,1154.488,248.96,5.08965,2.12334,4.77464,1.56208,27,probSAT
uf20-0601.cnf,985,1000,1000,265.282,167.469,467.782,167.469,4.58986,2.28081,4.44129,1.67208,74,probSAT
uf20-0602.cnf,1000,1000,1000,47.886,31.686,47.886,31.686,3.25413,1.0263,3.14273,0.64017,30,probSAT
uf20-0603.cnf,1000,1000,1000,42.218,39.652,42.218,39.652,3.31994,0.79639,3.32027,0.71965,62,probSAT
uf20-0604.cnf,1000,1000,1000,15.737,16.149,15.737,16.149,2.54242,0.43344,2.594,0.38797,71,probSAT
uf20-0605.cnf,1000,1000,1000,54.15,55.033,54.15,55.033,3.42609,1.01761,3.50491,0.99787,137,probSAT
uf20-0606.cnf,1000,1000,1000,151.195,139.091,151.195,139.091,4.45654,1.27067,4.41266,1.16762,1037,gSAT2
uf20-0607.cnf,1000,1000,1000,123.804,116.537,123.804,116.537,4.29111,1.18433,4.32706,0.98956,125,probSAT
uf20-0608.cnf,1000,1000,1000,134.116,99.058,134.116,99.058,4.16847,1.60891,4.12343,1.08417,78,probSAT
uf20-0609.cnf,1000,1000,1000,163.671,96.898,163.671,96.898,4.47879,1.51741,4.10771,1.08443,16,probSAT
uf20-0610.cnf,1000,1000,1000,102.058,74.446,102.058,74.446,3.72926,1.70674,3.71087,1.21803,63,probSAT
uf20-0611.cnf,998,1000,1000,122.933,54.357,149.933,54.357,3.92178,1.70301,3.59585,0.82356,26,probSAT
uf20-0612.cnf,1000,1000,1000,175.565,131.938,175.565,131.938,4.33723,1.83873,4.23284,1.43509,41,probSAT
uf20-0613.cnf,980,1000,1000,220.615,86.969,490.615,86.969,4.37063,1.92924,3.9249,1.11714,9,probSAT
uf20-0614.cnf,982,1000,1000,293.528,133.028,536.528,133.028,4.89095,1.76852,4.41813,1.04916,23,probSAT
uf20-0615.cnf,1000,1000,1000,81.08,53.134,81.08,53.134,3.81915,1.18059,3.58743,0.80065,19,probSAT
uf20-0616.cnf,974,1000,1000,224.231,93.46,575.231,93.46,4.22645,2.12874,3.92672,1.16179,37,probSAT
uf20-0617.cnf,1000,1000,1000,33.064,26.73,33.064,26.73,3.11595,0.67745,3.03261,0.50769,27,probSAT
uf20-0618.cnf,1000,1000,1000,150.297,89.185,150.297,89.185,4.39291,1.50417,4.08016,0.93065,24,probSAT
uf20-0619.cnf,1000,1000,1000,29.16,28.794,29.16,28.794,2.99887,0.69108,3.01035,0.68568,139,probSAT
uf20-0620.cnf,1000,1000,1000,23.509,19.311,23.509,19.311,2.87826,0.55555,2.72516,0.46897,None,probSAT
uf20-0621.cnf,1000,1000,1000,98.427,84.376,98.427,84.376,4.08066,1.15514,4.09098,0.76865,49,probSAT
uf20-0622.cnf,998,1000,1000,111.59,70.181,138.59,70.181,3.60424,1.96972,3.50536,1.36031,27,probSAT
uf20-0623.cnf,1000,1000,1000,80.924,54.645,80.924,54.645,3.80944,1.07398,3.6123,0.73873,18,probSAT
uf20-0624.cnf,1000,1000,1000,53.869,41.384,53.869,41.384,3.40195,1.01728,3.30367,0.76337,16,probSAT
uf20-0625.cnf,996,1000,1000,198.148,129.374,252.148,129.374,4.54389,1.63975,4.41184,1.03299,77,probSAT
uf20-0626.cnf,1000,1000,1000,56.506,40.888,56.506,40.888,3.61791,0.82212,3.45956,0.5299,17,probSAT
uf20-0627.cnf,1000,1000,1000,51.044,34.173,51.044,34.173,3.30486,1.15147,3.14478,0.76845,15,probSAT
uf20-0628.cnf,999,1000,1000,134.041,98.589,147.541,98.589,4.04967,1.80115,3.85717,1.48685,7,probSAT
uf20-0629.cnf,1000,1000,1000,96.831,40.947,96.831,40.947,3.70879,1.67588,3.28014,0.83252,None,probSAT
uf20-0630.cnf,975,993,1000,404.29,241.776,741.79,336.276,5.26222,1.9879,4.86647,1.49405,35,probSAT
uf20-0631.cnf,1000,1000,1000,132.548,83.409,132.548,83.409,4.24698,1.33744,3.97805,0.93221,12,probSAT
uf20-0632.cnf,1000,1000,1000,86.025,79.946,86.025,79.946,3.90659,1.22208,3.91354,1.04157,50,probSAT
uf20-0633.cnf,1000,1000,1000,39.762,35.433,39.762,35.433,3.31263,0.74748,3.26242,0.62075,18,probSAT
uf20-0634.cnf,1000,1000,1000,26.402,23.186,26.402,23.186,2.94441,0.63018,2.89791,0.51127,18,probSAT
uf20-0635.cnf,1000,1000,1000,102.354,74.327,102.354,74.327,4.18337,1.02843,3.94219,0.81821,8,probSAT
uf20-0636.cnf,1000,1000,1000,91.494,58.578,91.494,58.578,3.706,1.52887,3.58654,0.99141,34,probSAT
uf20-0637.cnf,1000,1000,1000,82.636,52.589,82.636,52.589,3.77496,1.21793,3.54154,0.84954,9,probSAT
uf20-0638.cnf,1000,1000,1000,59.91,51.124,59.91,51.124,3.65292,0.91623,3.57261,0.77641,29,probSAT
uf20-0639.cnf,1000,1000,1000,174.995,111.628,174.995,111.628,4.4462,1.79985,4.12892,1.3292,1072,gSAT2
uf20-0640.cnf,1000,1000,1000,31.354,28.582,31.354,28.582,3.08651,0.66182,3.08807,0.53063,34,probSAT
uf20-0641.cnf,1000,1000,1000,129.136,81.909,129.136,81.909,4.17929,1.54173,3.87948,1.14646,None,probSAT
uf20-0642.cnf,1000,1000,1000,46.656,33.653,46.656,33.653,3.13232,1.09019,3.06588,0.81878,32,probSAT
uf20-0643.cnf,1000,1000,1000,42.567,36.263,42.567,36.263,3.28323,0.87201,3.25007,0.68853,31,probSAT
uf20-0644.cnf,1000,1000,1000,55.083,43.068,55.083,43.068,3.4915,1.03592,3.43449,0.70418,37,probSAT
uf20-0645.cnf,1000,1000,1000,110.794,86.484,110.794,86.484,3.9564,1.60802,3.90024,1.22698,67,probSAT
uf20-0646.cnf,1000,1000,1000,102.541,55.652,102.541,55.652,3.98888,1.33095,3.66996,0.71199,15,probSAT
uf20-0647.cnf,1000,1000,1000,92.631,75.817,92.631,75.817,4.13783,0.83241,3.97983,0.78792,None,probSAT
uf20-0648.cnf,1000,1000,1000,67.269,47.732,67.269,47.732,3.61849,1.19573,3.46991,0.81481,21,probSAT
uf20-0649.cnf,1000,1000,1000,54.873,37.582,54.873,37.582,3.33546,1.22761,3.18842,0.8474,21,probSAT
uf20-0650.cnf,1000,1000,1000,26.172,21.98,26.172,21.98,2.83184,0.71384,2.75086,0.60432,11,probSAT
uf20-0651.cnf,1000,1000,1000,83.805,45.539,83.805,45.539,3.68644,1.40543,3.40647,0.80521,8,probSAT
uf20-0652.cnf,999,999,1000,221.236,166.668,234.736,180.168,4.79115,1.50015,4.61154,1.1973,39,probSAT
uf20-0653.cnf,1000,1000,1000,32.42,24.482,32.42,24.482,3.02775,0.71707,2.93103,0.50682,14,probSAT
uf20-0654.cnf,993,1000,1000,207.061,88.834,301.561,88.834,4.35998,2.24992,3.91495,1.28927,13,probSAT
uf20-0655.cnf,1000,1000,1000,42.782,33.862,42.782,33.862,3.28236,0.91186,3.15019,0.73512,None,probSAT
uf20-0656.cnf,998,1000,1000,179.724,141.138,206.724,141.138,4.47715,1.64524,4.447,1.17033,86,probSAT
uf20-0657.cnf,1000,1000,1000,31.112,31.495,31.112,31.495,3.13811,0.61009,3.17887,0.5739,184,probSAT
uf20-0658.cnf,1000,1000,1000,62.602,56.204,62.602,56.204,3.62863,1.02795,3.63923,0.82735,61,probSAT
uf20-0659.cnf,1000,1000,1000,32.612,25.674,32.612,25.674,3.0121,0.79027,2.91579,0.62941,4,probSAT
uf20-0660.cnf,1000,1000,1000,102.538,58.803,102.538,58.803,4.16576,1.04444,3.77447,0.63989,12,probSAT
uf20-0661.cnf,1000,1000,1000,63.63,43.451,63.63,43.451,3.59729,1.06191,3.47093,0.63371,27,probSAT
uf20-0662.cnf,1000,1000,1000,40.609,33.96,40.609,33.96,3.21042,0.97061,3.14821,0.78715,22,probSAT
uf20-0663.cnf,1000,1000,1000,54.414,50.529,54.414,50.529,3.59418,0.85939,3.568,0.73332,341,gSAT2
uf20-0664.cnf,1000,1000,1000,125.68,105.282,125.68,105.282,4.2706,1.26463,4.16378,1.04888,804,probSAT
uf20-0665.cnf,1000,1000,1000,26.648,24.396,26.648,24.396,2.92955,0.66617,2.88833,0.61046,47,probSAT
uf20-0666.cnf,987,999,1000,258.204,126.721,433.704,140.221,4.55196,2.1737,4.18472,1.36517,21,probSAT
uf20-0667.cnf,999,1000,1000,135.12,106.744,148.62,106.744,4.21856,1.58129,4.11171,1.25969,38,probSAT
uf20-0668.cnf,1000,1000,1000,60.672,37.277,60.672,37.277,3.53772,1.09974,3.29042,0.65292,5,probSAT
uf20-0669.cnf,999,1000,1000,165.459,94.0,178.959,94.0,4.39376,1.51821,4.09876,0.94159,22,probSAT
uf20-0670.cnf,1000,1000,1000,98.133,89.532,98.133,89.532,4.1171,1.01392,4.11239,0.85008,117,probSAT
uf20-0671.cnf,1000,1000,1000,71.016,56.927,71.016,56.927,3.50766,1.50674,3.43318,1.19816,22,probSAT
uf20-0672.cnf,993,1000,1000,199.5,121.413,294.0,121.413,4.47415,1.77659,4.23086,1.29844,30,probSAT
uf20-0673.cnf,1000,1000,1000,39.086,30.107,39.086,30.107,3.11184,0.9292,3.02741,0.7292,17,probSAT
uf20-0674.cnf,1000,1000,1000,101.722,93.649,101.722,93.649,4.09094,1.08005,4.11375,0.93537,87,probSAT
uf20-0675.cnf,999,1000,1000,182.098,108.946,195.598,108.946,4.47519,1.73483,4.23497,1.02677,46,probSAT
uf20-0676.cnf,1000,1000,1000,29.24,26.731,29.24,26.731,3.07285,0.57561,3.03907,0.50118,24,probSAT
uf20-0677.cnf,1000,1000,1000,48.0,45.062,48.0,45.062,3.50354,0.76113,3.47988,0.71551,34,probSAT
uf20-0678.cnf,999,1000,1000,231.222,192.086,244.722,192.086,4.8425,1.54892,4.71573,1.33864,30,probSAT
uf20-0679.cnf,1000,1000,1000,71.064,49.952,71.064,49.952,3.71807,1.18731,3.52319,0.81026,11,probSAT
uf20-0680.cnf,1000,1000,1000,110.778,79.17,110.778,79.17,4.23066,1.07393,4.00133,0.80542,14,probSAT
uf20-0681.cnf,1000,1000,1000,70.537,48.426,70.537,48.426,3.62749,1.28117,3.44731,0.87673,26,probSAT
uf20-0682.cnf,1000,1000,1000,33.903,31.147,33.903,31.147,3.19141,0.66413,3.17957,0.53785,29,probSAT
uf20-0683.cnf,735,990,1000,612.979,263.411,4190.479,398.411,4.4679,2.743,4.71694,1.94719,66,probSAT
uf20-0684.cnf,991,1000,1000,252.898,150.119,374.398,150.119,4.80369,1.6634,4.50054,1.18709,14,probSAT
uf20-0685.cnf,998,1000,1000,168.637,86.799,195.637,86.799,4.24649,2.06588,3.91191,1.20949,33,probSAT
uf20-0686.cnf,981,998,1000,298.609,192.875,555.109,219.875,4.61706,2.61075,4.47842,1.90474,68,probSAT
uf20-0687.cnf,736,986,1000,614.566,236.384,4178.566,425.384,4.42933,3.03438,4.523,2.03674,36,probSAT
uf20-0688.cnf,1000,1000,1000,130.845,101.531,130.845,101.531,4.28457,1.41741,4.01175,1.37732,787,gSAT2
uf20-0689.cnf,1000,1000,1000,39.53,32.354,39.53,32.354,3.30879,0.76166,3.18676,0.60399,9,probSAT
uf20-0690.cnf,1000,1000,1000,22.188,21.339,22.188,21.339,2.84286,0.49974,2.80897,0.50588,110,probSAT
uf20-0691.cnf,992,1000,1000,309.62,168.923,417.62,168.923,5.07549,1.62602,4.63854,1.15288,7,probSAT
uf20-0692.cnf,1000,1000,1000,175.221,109.154,175.221,109.154,4.58761,1.43695,4.23224,1.10425,21,probSAT
uf20-0693.cnf,1000,1000,1000,107.976,72.866,107.976,72.866,4.12318,1.14462,3.89842,0.81946,8,probSAT
uf20-0694.cnf,951,998,1000,391.356,191.327,1052.856,218.327,5.01455,2.20686,4.59502,1.62975,4,probSAT
uf20-0695.cnf,1000,1000,1000,86.677,69.093,86.677,69.093,3.95049,1.01704,3.8641,0.80116,45,probSAT
uf20-0696.cnf,1000,1000,1000,85.013,50.83,85.013,50.83,3.65332,1.55718,3.4705,0.94357,25,probSAT
uf20-0697.cnf,1000,1000,1000,35.848,27.525,35.848,27.525,3.10874,0.85572,2.98805,0.63506,11,probSAT
uf20-0698.cnf,1000,1000,1000,105.536,81.526,105.536,81.526,4.18206,1.02663,4.00584,0.85644,14,probSAT
uf20-0699.cnf,995,1000,1000,142.121,85.883,209.621,85.883,4.01901,1.6351,3.88379,1.15047,61,probSAT
uf20-0700.cnf,1000,1000,1000,94.13,74.952,94.13,74.952,4.11456,0.97075,4.03357,0.62393,44,probSAT
uf20-0701.cnf,993,1000,1000,239.467,145.718,333.967,145.718,4.80966,1.54967,4.47606,1.21438,2,probSAT
uf20-0702.cnf,1000,1000,1000,27.935,23.37,27.935,23.37,2.89199,0.76669,2.84649,0.5994,20,probSAT
uf20-0703.cnf,1000,1000,1000,36.862,32.999,36.862,32.999,3.13741,0.84712,3.1515,0.70374,39,probSAT
uf20-0704.cnf,1000,1000,1000,91.073,55.078,91.073,55.078,3.72208,1.51454,3.54749,0.90568,26,probSAT
uf20-0705.cnf,999,1000,1000,172.694,97.242,186.194,97.242,4.54058,1.45851,4.15196,0.97478,21,probSAT
uf20-0706.cnf,1000,1000,1000,23.898,21.597,23.898,21.597,2.81535,0.68711,2.77762,0.59594,16,probSAT
uf20-0707.cnf,999,1000,1000,112.113,79.009,125.613,79.009,3.9897,1.50391,3.85147,1.07931,40,probSAT
uf20-0708.cnf,986,1000,1000,273.312,132.842,462.312,132.842,4.84,1.80383,4.37499,1.24281,19,probSAT
uf20-0709.cnf,1000,1000,1000,52.525,39.954,52.525,39.954,3.59269,0.78446,3.37988,0.65369,2,probSAT
uf20-0710.cnf,957,1000,1000,280.63,112.197,861.13,112.197,4.42827,2.25382,3.98823,1.49173,7,probSAT
uf20-0711.cnf,1000,1000,1000,119.93,81.911,119.93,81.911,4.32049,1.11886,4.00185,0.93532,None,probSAT
uf20-0712.cnf,996,999,1000,171.392,141.298,225.392,154.798,4.39923,1.5401,4.3386,1.30425,40,probSAT
uf20-0713.cnf,999,1000,1000,84.861,43.273,98.361,43.273,3.5812,1.63198,3.27993,0.947,7,probSAT
uf20-0714.cnf,1000,1000,1000,32.533,30.269,32.533,30.269,3.14522,0.66099,3.09751,0.63126,236,gSAT2
uf20-0715.cnf,991,1000,1000,213.934,119.036,335.434,119.036,4.55898,1.7321,4.29019,1.10475,46,probSAT
uf20-0716.cnf,993,1000,1000,230.505,125.091,325.005,125.091,4.69848,1.58433,4.31679,1.07384,18,probSAT
uf20-0717.cnf,995,985,1000,295.966,334.653,363.466,537.153,4.97362,1.93504,5.14315,1.66428,2,gSAT2
uf20-0718.cnf,1000,1000,1000,69.573,61.789,69.573,61.789,3.68282,1.11615,3.65858,0.96237,54,probSAT
uf20-0719.cnf,1000,1000,1000,106.543,71.23,106.543,71.23,4.12671,1.2666,3.85951,0.90174,15,probSAT
uf20-0720.cnf,999,1000,1000,141.043,92.341,154.543,92.341,4.2631,1.49089,4.03832,1.06826,39,probSAT
uf20-0721.cnf,1000,1000,1000,80.743,43.55,80.743,43.55,3.57652,1.58791,3.26491,1.00421,2,probSAT
uf20-0722.cnf,1000,1000,1000,36.026,32.817,36.026,32.817,3.17444,0.80798,3.15563,0.70222,41,probSAT
uf20-0723.cnf,993,1000,1000,206.601,97.191,301.101,97.191,4.35892,2.15456,3.99721,1.23391,26,probSAT
uf20-0724.cnf,1000,1000,1000,19.364,18.633,19.364,18.633,2.6923,0.50535,2.71957,0.41777,24,probSAT
uf20-0725.cnf,1000,1000,1000,104.504,80.958,104.504,80.958,4.20324,1.00843,4.02502,0.8236,23,probSAT
